StockCode,Description,Product_Category,Total_Revenue,Total_Quantity_Sold,Total_Orders,Avg_Price,Unique_Customers
37503,TEA TIME CAKE STAND IN GIFT BOX,GIFTS,239.5,25,9,14.31,6
84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,OTHER,235.44,105,7,3.18,6
48173C,DOOR MAT BLACK FLOCK,OTHER,235.23,33,8,8.33,6
85099F,JUMBO BAG STRAWBERRY,BAGS,233.25,135,7,1.91,7
22095,LADS ONLY TISSUE BOX,OTHER,231.25,185,6,1.25,4
21888,BINGO SET,SETS,228.08,49,13,5.61,7
22294,HEART FILIGREE DOVE  SMALL,OTHER,226.25,181,10,1.25,10
21479,WHITE SKULL HOT WATER BOTTLE,OTHER,221.81,57,13,4.37,11
21791,VINTAGE HEADS AND TAILS CARD GAME,OTHER,221.67,195,14,1.32,9
48184,DOOR MAT ENGLISH ROSE,OTHER,219.0,36,5,6.43,5
82494L,WOODEN FRAME ANTIQUE WHITE,OTHER,217.55,77,11,2.91,11
21484,CHICK GREY HOT WATER BOTTLE,OTHER,209.7,66,8,3.39,8
20747,PICCADILLY TEA SET,SETS,209.3,14,4,14.95,4
51008,AFGHAN SLIPPER SOCK PAIR,OTHER,207.0,60,2,3.45,2
22356,"CHARLOTTE BAG , PINK/WHITE SPOTS",BAGS,206.9,272,10,0.91,9
22335,HEART DECORATION PAINTED ZINC,OTHER,205.85,361,5,0.63,5
79323LP,LIGHT PINK CHERRY LIGHTS,LIGHTING,205.05,35,5,6.49,5
21732,RED HANGING METAL STAR TLIGHT HLDR,LIGHTING,204.84,60,4,3.48,4
90035C,"PEARL & SHELL 42""NECKL. IVORY",OTHER,204.25,19,1,10.75,1
20823,GOLD WINE GOBLET,OTHER,204.0,48,1,4.25,1
48185,DOOR MAT FAIRY CAKE,OTHER,202.36,28,8,9.32,5
20750,RED/WHITE DOT MINI CASES,OTHER,200.1,30,5,7.31,5
37410,BLACK AND WHITE PAISLEY FLOWER MUG,OTHER,200.08,217,2,8.67,1
22064,PINK DOUGHNUT TRINKET POT,OTHER,197.17,121,10,1.99,8
79323S,SILVER CHERRY LIGHTS,LIGHTING,196.12,28,7,7.77,6
20979,36 PENCILS TUBE RED SPOTTY,OTHER,195.89,173,7,1.41,6
84854,GIRLY PINK TOOL SET,SETS,195.35,29,12,6.49,5
21700,BIG DOUGHNUT FRIDGE MAGNETS,OTHER,192.25,217,5,2.41,3
22195,LARGE HEART MEASURING SPOONS,OTHER,190.64,122,10,1.99,6
15056N,EDWARDIAN PARASOL NATURAL,OTHER,190.4,34,5,5.95,5
47591D,PINK FAIRY CAKE CHILD'S APRON,OTHER,190.15,104,10,2.16,9
21955,UNION JACK GUNS & ROSES  DOORMAT,OTHER,189.23,25,9,9.03,6
20825,GOLD WINE GLASS,OTHER,188.76,49,2,14.72,1
72802A,ROSE SCENT CANDLE IN JEWELLED BOX,OTHER,187.13,49,2,4.03,2
82582,AREA PATROLLED METAL SIGN,OTHER,184.88,100,6,2.4,5
84050,PINK HEART SHAPE EGG FRYING PAN,OTHER,184.65,141,5,1.57,5
84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE,OTHER,182.17,58,3,5.72,2
84031A,CHARLIE+LOLA RED HOT WATER BOTTLE,OTHER,181.95,59,3,4.1,2
22187,GREEN CHRISTMAS TREE CARD HOLDER,SEASONAL,179.55,43,7,4.81,6
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,OTHER,179.1,18,7,9.95,7
20780,BLACK EAR MUFF HEADPHONES,OTHER,178.66,37,2,7.96,1
22109,FULL ENGLISH BREAKFAST PLATE,OTHER,176.54,48,9,4.12,6
21181,PLEASE ONE PERSON  METAL SIGN,OTHER,176.5,83,12,2.28,11
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,SETS,176.25,47,7,3.75,7
85061W,WHITE JEWELLED HEART DECORATION,OTHER,175.7,265,3,1.06,2
82001S,VINYL RECORD FRAME SILVER,OTHER,173.97,51,3,3.51,3
21912,VINTAGE SNAKES & LADDERS,OTHER,169.87,41,15,4.82,9
85099C,JUMBO  BAG BAROQUE BLACK WHITE,BAGS,169.65,87,10,1.95,8
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,SETS,169.29,41,9,5.5,5
22215,CAKE STAND WHITE TWO TIER LACE,OTHER,168.3,21,6,8.36,6
22130,PARTY CONE CHRISTMAS DECORATION,SEASONAL,166.75,187,14,1.41,11
21731,RED TOADSTOOL LED NIGHT LIGHT,LIGHTING,165.26,98,7,1.9,6
21929,JUMBO BAG PINK VINTAGE PAISLEY,BAGS,161.85,87,12,1.95,12
85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,OTHER,159.28,63,4,4.42,3
85047,WHITE BEADED GARLAND STRING 20LIGHT,LIGHTING,158.75,27,6,6.35,6
21146,ANTIQUE GLASS RIDGED HANGING BALL,OTHER,158.4,96,1,1.65,1
20711,JUMBO BAG TOYS,BAGS,157.95,105,6,1.84,5
84991,60 TEATIME FAIRY CAKE CASES,OTHER,157.75,280,13,0.61,12
84519B,CARROT CHARLIE+LOLA COASTER SET,SETS,156.08,62,3,4.83,1
21238,RED SPOTTY CUP,OTHER,155.82,198,11,0.84,11
21621,VINTAGE UNION JACK BUNTING,OTHER,153.0,18,7,8.5,7
84997A,GREEN 3 PIECE MINI DOTS CUTLERY SET,SETS,150.0,40,7,3.75,7
37449,CERAMIC CAKE STAND + HANGING CAKES,OTHER,149.4,15,4,12.52,3
22198,"POPCORN HOLDER , LARGE",OTHER,147.93,89,5,1.97,4
72741,GRAND CHOCOLATECANDLE,OTHER,147.8,92,8,3.25,6
22295,HEART FILIGREE DOVE LARGE,OTHER,146.98,88,9,1.85,8
85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,OTHER,144.0,60,1,2.4,1
21541,DINOSAURS WATER TRANSFER TATTOOS,OTHER,143.6,214,3,1.07,2
21216,"SET 3 RED SPOT TIN TEA,COFFEE,SUGAR",SETS,142.96,31,5,6.07,4
22349,"DOG BOWL , CHASING BALL DESIGN",OTHER,142.5,38,9,3.75,8
84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,OTHER,141.94,73,7,3.24,6
21543,BUTTERFLY WATER TRANSFER TATTOOS,OTHER,141.9,213,3,1.07,2
20914,SET/5 RED SPOTTY LID GLASS BOWLS,SETS,141.74,49,12,3.21,9
90062,CARNIVAL BRACELET,OTHER,140.25,11,3,12.75,3
82615,PINK MARSHMALLOW SCARF KNITTING KIT,OTHER,140.24,53,3,3.85,2
21100,CHARLIE AND LOLA CHARLOTTE BAG,BAGS,140.1,94,7,1.58,7
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,SETS,138.75,37,6,3.75,6
21116,OWL DOORSTOP,OTHER,138.4,16,7,8.65,0
21017,RED BIRD HOUSE TREE DECORATION,OTHER,138.24,192,1,0.72,1
21977,PACK OF 60 PINK PAISLEY CAKE CASES,OTHER,136.8,273,9,0.62,8
21591,COSY HOUR CIGAR BOX MATCHES,OTHER,136.25,109,8,1.25,7
20682,RED SPOTTY CHILDS UMBRELLA,OTHER,133.66,42,8,3.71,7
21098,CHRISTMAS TOILET ROLL,SEASONAL,132.89,97,7,1.41,6
21671,RED SPOT CERAMIC DRAWER KNOB,OTHER,132.35,115,6,1.22,6
21133,PAINTED BIRD ASSORTED CHRISTMAS,SEASONAL,131.82,78,6,1.69,6
21590,KINGS CHOICE CIGAR BOX MATCHES,OTHER,131.25,105,7,1.25,7
21844,RETRO SPOT MUG,OTHER,130.36,40,6,3.46,5
20724,RED SPOTTY CHARLOTTE BAG,BAGS,130.05,150,10,0.94,9
22218,CAKE STAND LACE WHITE,OTHER,128.25,33,5,4.15,5
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,OTHER,127.92,44,5,3.6,3
21523,FANCY FONT HOME SWEET HOME DOORMAT,OTHER,127.0,20,7,6.64,7
48187,DOOR MAT NEW ENGLAND,OTHER,127.0,20,8,6.65,8
20727,LUNCH BAG  BLACK SKULL.,BAGS,126.95,83,5,1.61,5
21042,RED SPOTTY APRON,OTHER,126.05,20,7,6.96,5
85232B,SET/3 RUSSIAN DOLL STACKING TINS,SETS,123.75,25,6,4.95,6
17164D,ASS COL SMALL SAND FROG P'WEIGHT,OTHER,122.52,326,4,0.41,3
21610,SET 12 PEAR BOTANICAL T-LIGHTS,LIGHTING,122.4,48,1,2.55,1
11001,ASSTD DESIGN RACING CAR PEN,OTHER,121.78,70,4,2.12,2
84598,BOYS ALPHABET IRON ON PATCHES,OTHER,121.39,577,2,0.32,1
84568,GIRLS ALPHABET IRON ON PATCHES,OTHER,120.96,576,2,0.21,2
84519A,TOMATO CHARLIE+LOLA COASTER SET,SETS,120.4,56,1,2.15,1
22145,CHRISTMAS CRAFT HEART STOCKING,SEASONAL,120.2,66,8,2.07,7
85014C,BLUE/BROWN DOTS RUFFLED UMBRELLA,OTHER,120.1,19,7,6.96,6
21210,SET OF 72 RETRO SPOT PAPER  DOILIES,SETS,119.32,79,7,1.68,6
82486,WOOD S/3 CABINET ANT WHITE FINISH,OTHER,119.25,15,5,7.95,5
20675,BLUE SPOTTY BOWL,OTHER,118.96,104,9,1.38,8
22273,FELTCRAFT DOLL MOLLY,OTHER,118.56,36,14,3.61,10
20940,SET/6 GARDEN GNOME T-LIGHT CANDLES,LIGHTING,118.49,44,4,3.62,3
21411,GINGHAM HEART  DOORSTOP RED,OTHER,118.25,41,4,3.81,4
84836,ZINC METAL HEART DECORATION,OTHER,117.78,90,7,1.44,6
21041,RED SPOTTY OVEN GLOVE DOUBLE,OTHER,115.33,43,12,3.46,10
22072,TEA CUP AND SAUCER RETRO SPOT,OTHER,115.3,20,5,4.56,3
85066,CREAM SWEETHEART MINI CHEST,OTHER,115.29,8,5,15.41,4
21833,CAMOUFLAGE LED TORCH,OTHER,115.07,65,9,2.08,7
21784,SHOE SHINE BOX,OTHER,114.85,8,3,13.87,2
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,LIGHTING,114.0,120,3,0.95,3
48129,DOOR MAT TOPIARY,OTHER,113.87,17,7,7.65,5
21186,WHITE DOVE HONEYCOMB PAPER GARLAND,OTHER,113.67,65,7,2.64,2
21625,VINTAGE UNION JACK APRON,OTHER,112.04,15,4,8.9,3
84360,TABLE LAMP WHITE SHADE WOOD BASE,OTHER,111.6,24,2,4.65,2
84992,72 SWEETHEART FAIRY CAKE CASES,OTHER,111.3,228,10,0.61,8
22088,PAPER BUNTING COLOURED LACE,OTHER,110.85,43,3,2.82,2
21481,FAWN BLUE HOT WATER BOTTLE,OTHER,109.71,35,11,3.51,9
35001W,HAND OPEN SHAPE DECO.WHITE,OTHER,109.54,46,4,4.65,3
79072,TEATIME CAKE TIN WITH HANDLE,OTHER,109.2,8,5,15.87,1
21398,RED  SPOTTY COFFEE  MUG,OTHER,109.2,60,2,1.92,2
22186,RED STAR CARD HOLDER,OTHER,109.15,37,7,2.95,7
22296,HEART IVORY TRELLIS LARGE,OTHER,109.03,65,7,1.9,6
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,SETS,108.75,29,6,3.75,6
22147,FELTCRAFT BUTTERFLY HEARTS,OTHER,108.67,75,12,2.09,5
85034A,3 GARDENIA MORRIS BOXED CANDLES,OTHER,108.44,28,2,4.03,2
21136,PAINTED METAL PEARS ASSORTED,OTHER,108.16,64,4,1.69,4
21491,SET OF THREE VINTAGE GIFT WRAPS,SETS,108.05,53,16,2.24,13
85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,OTHER,107.1,18,6,5.95,6
21539,RETRO SPOTS BUTTER DISH,OTHER,106.89,15,7,7.28,4
21410,COUNTRY COTTAGE  DOORSTOP GREEN,OTHER,105.8,36,4,6.01,2
20754,RETRO RED SPOTTY WASHING UP GLOVES,OTHER,105.2,48,11,2.3,9
21080,SET/20 RED SPOTTY PAPER NAPKINS,SETS,102.85,119,12,0.92,10
22193,RED DINER WALL CLOCK,OTHER,102.35,11,4,10.71,3
21341,KASBAH LANTERN WITH GLASS,OTHER,102.0,24,1,4.25,1
22282,12 EGG HOUSE PAINTED WOOD,OTHER,102.0,8,2,12.75,2
79341,WILLOW BRANCH LIGHTS.,LIGHTING,101.99,13,4,10.31,2
48188,DOOR MAT WELCOME PUPPIES,OTHER,101.99,13,6,9.12,4
20765,CHRYSANTHEMUM SKETCHBOOK,OTHER,101.9,34,3,3.48,2
84358,FLOOR LAMP SHADE WOOD BASE,OTHER,101.88,12,1,8.49,1
20827,GOLD APERITIF GLASS,OTHER,101.76,48,1,2.12,1
20826,SILVER APERITIF GLASS,OTHER,101.76,48,1,2.12,1
21242,RED SPOTTY PLATE,OTHER,101.7,54,6,1.98,5
21493,VINTAGE DESIGN GIFT TAGS,GIFTS,101.15,115,15,0.91,13
21205,MULTICOLOUR 3D BALLS GARLAND,OTHER,100.8,48,1,2.1,1
22180,RETRO SPOT LAMP,OTHER,100.43,9,5,12.13,4
20886,BOX OF 9 PEBBLE CANDLES,OTHER,100.25,49,8,2.54,6
17165D,ASS COL LARGE SAND FROG P'WEIGHT,OTHER,100.2,116,2,0.95,2
21877,HOME SWEET HOME MUG,OTHER,100.07,91,4,1.2,4
85065,CREAM SWEETHEART TRAYS,OTHER,99.5,10,1,9.95,1
20677,PINK SPOTTY BOWL,OTHER,98.96,88,6,1.44,5
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,OTHER,98.74,86,3,1.63,2
21821,GLITTER STAR GARLAND WITH BELLS,OTHER,97.5,26,6,3.75,4
85150,LADIES & GENTLEMEN METAL SIGN,OTHER,97.11,35,8,3.2,6
21889,WOODEN BOX OF DOMINOES,OTHER,96.53,73,7,1.44,6
21928,JUMBO BAG SCANDINAVIAN PAISLEY,BAGS,95.55,49,5,1.95,5
22415,WHITE TISSUE REAM,OTHER,95.4,12,7,7.95,7
35004B,SET OF 3 BLACK FLYING DUCKS,SETS,94.8,15,2,8.82,1
21587,COSY HOUR GIANT TUBE MATCHES,OTHER,94.35,37,5,2.55,5
85038,6 CHOCOLATE LOVE HEART T-LIGHTS,LIGHTING,93.72,54,2,1.9,2
22199,FRYING PAN RED POLKADOT,OTHER,93.65,21,5,5.13,4
21669,BLUE STRIPE CERAMIC DRAWER KNOB,OTHER,93.6,84,2,1.16,2
22275,WEEKEND BAG VINTAGE ROSE PAISLEY,BAGS,93.5,11,7,8.5,5
21975,PACK OF 60 DINOSAUR CAKE CASES,OTHER,93.5,197,9,0.62,7
85041,SET/4 PINK ORCHID CANDLES IN BOWL,SETS,92.83,61,3,2.18,2
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,OTHER,92.79,483,5,0.2,5
84990,60 GOLD AND SILVER FAIRY CAKE CASES,OTHER,92.4,168,6,0.55,6
84619,BLUE GINGHAM ROSE QUILT,OTHER,91.9,2,2,45.95,2
37494A,FAIRY CAKE CERAMIC BUTTER DISH,OTHER,91.8,36,1,2.55,1
21156,RED SPOTTY CHILDS APRON,OTHER,91.65,47,6,1.95,6
84327A,PINK JUMPER LARRY THE LAMB,OTHER,91.62,53,3,1.96,3
22107,PIZZA PLATE IN BOX,OTHER,90.84,23,9,4.2,7
21533,RETRO SPOT LARGE MILK JUG,OTHER,90.57,17,10,6.58,5
22321,BIRD DECORATION RED SPOT,OTHER,90.24,108,6,0.83,6
21804,WHITE CHRISTMAS GARLAND STARS TREES,SEASONAL,90.0,24,2,3.75,2
21323,HANGING MEDINA LANTERN LARGE,OTHER,90.0,24,1,3.75,1
22353,LUNCHBOX WITH CUTLERY FAIRY CAKES,OTHER,89.39,33,9,3.13,6
21035,SET/2 RED SPOTTY TEA TOWELS,SETS,88.64,29,8,3.34,6
22065,CHRISTMAS PUDDING TRINKET POT,SEASONAL,88.59,57,7,2.02,5
21790,VINTAGE SNAP CARDS,OTHER,88.4,99,8,0.96,6
21930,JUMBO STORAGE BAG SKULLS,BAGS,87.75,45,6,1.95,6
85049A,TRADITIONAL CHRISTMAS RIBBONS,SEASONAL,87.5,70,6,1.25,6
22350,CAT BOWL,OTHER,86.7,34,6,2.55,6
22122,SET OF 2 FANCY FONT TEA TOWELS,SETS,85.69,28,5,3.57,3
21241,GREEN SPOTTY CUP,OTHER,85.27,115,3,0.81,3
84352,SILVER CHRISTMAS TREE BAUBLE STAND,SEASONAL,84.75,5,4,16.95,4
82600,NO SINGING METAL SIGN,OTHER,84.1,39,5,2.54,4
37370,RETRO COFFEE MUGS ASSORTED,OTHER,83.42,18,6,11.4,2
21642,ASSORTED TUTTI FRUTTI PEN,OTHER,83.3,97,5,1.02,4
85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,OTHER,83.3,14,7,5.95,7
82483,WOOD 2 DRAWER CABINET WHITE FINISH,OTHER,83.3,16,7,5.95,7
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,OTHER,83.06,20,8,4.76,6
21832,CHOCOLATE CALCULATOR,OTHER,82.76,48,5,2.01,4
22272,FELTCRAFT DOLL MARIA,OTHER,82.74,27,9,3.29,8
22271,FELTCRAFT DOLL ROSIE,OTHER,82.6,28,11,2.95,8
20712,JUMBO BAG WOODLAND ANIMALS,BAGS,82.35,35,8,2.24,6
22300,COFFEE MUG DOG + BALL DESIGN,OTHER,81.88,28,6,2.99,5
21531,RETRO SPOT SUGAR JAM BOWL,OTHER,81.81,29,8,3.53,5
37461,FUNKY MONKEY MUG,OTHER,81.6,96,1,0.85,1
84832,ZINC WILLIE WINKIE  CANDLE STICK,OTHER,81.6,96,5,0.85,5
21137,BLACK RECORD COVER FRAME,OTHER,81.36,24,1,3.39,1
20681,PINK SPOTTY CHILDS UMBRELLA,OTHER,81.25,25,4,3.25,4
48111,DOOR MAT 3 SMILEY CATS,OTHER,81.0,12,6,6.75,6
20728,LUNCH BAG CARS BLUE,BAGS,80.85,49,7,1.65,6
85231L,LAVENDER SCENTED SET/9 T-LIGHTS,LIGHTING,79.9,94,4,0.85,4
20726,LUNCH BAG WOODLAND,BAGS,79.2,48,6,1.65,6
20934,SET/3 POT PLANT CANDLES,SETS,79.2,16,1,4.95,1
21708,FOLDING UMBRELLA  CREAM/MULTI  SPOT,OTHER,79.2,16,2,4.95,2
21535,RETRO SPOT SMALL MILK JUG,OTHER,79.19,31,9,2.84,8
20674,GREEN SPOTTY BOWL,OTHER,78.89,73,2,1.82,1
72815,3 WICK CHRISTMAS BRIAR CANDLE,SEASONAL,78.75,21,4,3.75,4
20784,RED RETRO BAR STOOL,OTHER,78.22,1,1,78.22,0
35001G,HAND OPEN SHAPE GOLD,OTHER,78.02,22,3,3.96,3
22165,"DIAMANTE HEART SHAPED WALL MIRROR,",OTHER,77.58,4,4,19.4,2
22121,NOEL WOODEN BLOCK LETTERS,OTHER,77.58,12,5,7.19,4
21756,BATH BUILDING BLOCK WORD,OTHER,77.35,13,5,5.95,5
21871,SAVE THE PLANET MUG,OTHER,77.15,77,8,2.07,4
20768,GREEN FERN JOURNAL,OTHER,76.5,30,3,2.55,3
21256,"FRENCH BOTTLE, BRASSERIE DES ARTIST",OTHER,76.46,50,2,2.44,1
21500,PINK SPOTS  WRAP,OTHER,76.0,200,4,0.4,4
21811,CHRISTMAS HANGING HEART WITH BELL,SEASONAL,75.0,60,5,1.25,5
85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,OTHER,74.83,109,4,2.31,4
85231B,CINAMMON SET OF 9 T-LIGHTS,LIGHTING,74.8,86,10,1.02,7
48116,DOOR MAT MULTICOLOUR STRIPE,OTHER,74.62,10,4,8.53,3
21868,POTTING SHED TEA MUG,OTHER,74.36,56,9,1.49,8
21482,MUSHROOM BLUE HOT WATER BOTTLE,OTHER,74.31,21,10,3.88,7
48194,DOORMAT HEARTS,OTHER,74.25,11,6,6.75,6
84006,MAGIC TREE -PAPER FLOWERS,OTHER,73.95,86,4,1.06,3
21480,PINK STRIPE HOT WATER BOTTLE,OTHER,73.89,24,9,3.29,8
21164,HOME SWEET HOME METAL SIGN,OTHER,73.89,24,6,3.46,4
21257,VICTORIAN SEWING BOX MEDIUM,OTHER,72.13,12,7,9.17,5
72267,PREMIUM CHURCH CANDLE,OTHER,71.4,34,7,2.1,7
22276,WASH BAG VINTAGE ROSE PAISLEY,BAGS,71.4,28,8,2.55,6
22073,RETRO SPOT STORAGE JAR,OTHER,71.25,21,8,3.75,6
22224,WHITE LOVEBIRD LANTERN,OTHER,71.22,21,4,3.72,3
21165,BEWARE OF THE CAT METAL SIGN,OTHER,71.13,39,3,2.56,2
22082,RIBBON REEL STRIPES DESIGN,OTHER,70.95,43,6,1.65,6
84030C,KNITTED RAINBOW HOT WATER BOTTLE,OTHER,70.02,9,6,7.78,0
21218,RED SPOTTY BISCUIT TIN,OTHER,69.8,18,8,4.97,6
22212,FOUR HOOK  WHITE LOVEBIRDS,OTHER,69.4,32,6,2.47,5
72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,SETS,69.35,11,7,8.02,1
84270,ASSTD DESIGN BUBBLE GUM RING,OTHER,69.3,330,7,0.21,6
21584,RETRO SPOT SMALL TUBE MATCHES,OTHER,69.3,42,3,1.65,3
21703,BAG 125G SWIRLY MARBLES,BAGS,69.12,192,2,0.36,2
90085,CRYSTAL STILETTO PHONE CHARM,OTHER,68.85,243,3,0.85,1
22355,"CHARLOTTE BAG , SUKI DESIGN",BAGS,68.85,67,6,0.99,5
21252,SET OF MEADOW  FLOWER STICKERS,SETS,68.54,35,5,3.32,4
22207,FRYING PAN UNION FLAG,OTHER,68.15,15,6,4.98,5
22194,BLACK DINER WALL CLOCK,OTHER,68.0,8,2,8.5,2
84872A,TEATIME FUNKY FLOWER BACKPACK FOR 2,OTHER,67.56,6,5,11.26,0
21351,CINAMMON & ORANGE WREATH,OTHER,67.5,10,3,6.75,3
22101,MIRROR MOSAIC VOTIVE HOLDER,OTHER,66.6,36,1,1.85,1
20975,12 PENCILS SMALL TUBE RED SPOTTY,OTHER,65.65,100,11,0.71,9
22274,FELTCRAFT DOLL EMILY,OTHER,65.18,20,7,3.39,5
47566,PARTY BUNTING,OTHER,65.1,14,4,4.65,4
