Date,Daily_Revenue,Daily_Orders,Daily_Customers,Daily_Items,Daily_Products,Year,Month,Day,DayOfWeek,DayOfYear,WeekOfYear,Quarter,IsWeekend,IsMonthStart,IsMonthEnd
2023-03-12,2099.57,35,27,83,40,2023,3,12,6,71,10,1,1,0,0
2023-03-13,1442.72,32,21,88,30,2023,3,13,0,72,11,1,0,0,0
2023-03-14,1498.17,24,16,67,38,2023,3,14,1,73,11,1,0,0,0
2023-03-15,1306.76,27,18,69,29,2023,3,15,2,74,11,1,0,0,0
2023-03-16,1396.11,27,22,88,44,2023,3,16,3,75,11,1,0,0,0
2023-03-17,1505.02,28,20,119,31,2023,3,17,4,76,11,1,0,0,0
2023-03-18,1757.54,45,21,93,33,2023,3,18,5,77,11,1,1,0,0
2023-03-19,2057.0,42,37,136,37,2023,3,19,6,78,11,1,1,0,0
2023-03-20,1473.34,29,16,114,40,2023,3,20,0,79,12,1,0,0,0
2023-03-21,1295.68,46,38,110,39,2023,3,21,1,80,12,1,0,0,0
2023-03-22,1060.85,27,18,68,28,2023,3,22,2,81,12,1,0,0,0
2023-03-23,1525.2,44,30,114,37,2023,3,23,3,82,12,1,0,0,0
2023-03-24,1887.58,55,30,193,40,2023,3,24,4,83,12,1,0,0,0
2023-03-25,1790.03,29,20,99,38,2023,3,25,5,84,12,1,1,0,0
2023-03-26,2640.77,42,28,137,49,2023,3,26,6,85,12,1,1,0,0
2023-03-27,2058.11,58,44,194,31,2023,3,27,0,86,13,1,0,0,0
2023-03-28,1379.5,56,37,172,41,2023,3,28,1,87,13,1,0,0,0
2023-03-29,1696.49,27,15,30,36,2023,3,29,2,88,13,1,0,0,0
2023-03-30,1775.2,39,19,94,31,2023,3,30,3,89,13,1,0,0,0
2023-03-31,2258.48,46,27,96,37,2023,3,31,4,90,13,1,0,0,1
2023-04-01,1602.41,29,17,84,33,2023,4,1,5,91,13,2,1,1,0
2023-04-02,1425.8,32,19,65,28,2023,4,2,6,92,13,2,1,0,0
2023-04-03,1773.54,39,24,104,37,2023,4,3,0,93,14,2,0,0,0
2023-04-04,1355.07,26,20,53,30,2023,4,4,1,94,14,2,0,0,0
2023-04-05,1344.23,61,33,219,41,2023,4,5,2,95,14,2,0,0,0
2023-04-06,1350.24,26,19,129,39,2023,4,6,3,96,14,2,0,0,0
2023-04-07,1682.1,47,25,125,33,2023,4,7,4,97,14,2,0,0,0
2023-04-08,1595.06,41,24,157,40,2023,4,8,5,98,14,2,1,0,0
2023-04-09,2026.0,33,23,59,47,2023,4,9,6,99,14,2,1,0,0
2023-04-10,1855.84,53,36,95,31,2023,4,10,0,100,15,2,0,0,0
2023-04-11,1600.65,24,13,70,32,2023,4,11,1,101,15,2,0,0,0
2023-04-12,1303.23,33,20,83,28,2023,4,12,2,102,15,2,0,0,0
2023-04-13,1463.57,32,21,56,31,2023,4,13,3,103,15,2,0,0,0
2023-04-14,1914.61,38,22,98,42,2023,4,14,4,104,15,2,0,0,0
2023-04-15,1524.09,30,19,88,31,2023,4,15,5,105,15,2,1,0,0
2023-04-16,1483.35,51,35,138,30,2023,4,16,6,106,15,2,1,0,0
2023-04-17,1886.71,66,45,101,35,2023,4,17,0,107,16,2,0,0,0
2023-04-18,1419.3,38,25,125,31,2023,4,18,1,108,16,2,0,0,0
2023-04-19,1586.56,47,35,171,23,2023,4,19,2,109,16,2,0,0,0
2023-04-20,1241.8,24,16,67,29,2023,4,20,3,110,16,2,0,0,0
2023-04-21,1746.89,40,32,108,39,2023,4,21,4,111,16,2,0,0,0
2023-04-22,1912.87,47,30,132,37,2023,4,22,5,112,16,2,1,0,0
2023-04-23,2128.29,32,25,71,47,2023,4,23,6,113,16,2,1,0,0
2023-04-24,1620.84,65,38,65,34,2023,4,24,0,114,17,2,0,0,0
2023-04-25,1417.06,22,16,51,38,2023,4,25,1,115,17,2,0,0,0
2023-04-26,944.83,19,14,25,35,2023,4,26,2,116,17,2,0,0,0
2023-04-27,1486.08,36,27,155,35,2023,4,27,3,117,17,2,0,0,0
2023-04-28,2152.33,53,32,167,37,2023,4,28,4,118,17,2,0,0,0
2023-04-29,2479.65,61,45,168,49,2023,4,29,5,119,17,2,1,0,0
2023-04-30,2266.52,53,31,113,44,2023,4,30,6,120,17,2,1,0,1
2023-05-01,1542.27,43,33,154,37,2023,5,1,0,121,18,2,0,1,0
2023-05-02,1452.77,38,21,40,42,2023,5,2,1,122,18,2,0,0,0
2023-05-03,1245.39,28,20,44,44,2023,5,3,2,123,18,2,0,0,0
2023-05-04,1445.63,31,23,89,35,2023,5,4,3,124,18,2,0,0,0
2023-05-05,1528.37,30,26,107,43,2023,5,5,4,125,18,2,0,0,0
2023-05-06,1892.83,53,36,134,44,2023,5,6,5,126,18,2,1,0,0
2023-05-07,1530.19,25,17,53,30,2023,5,7,6,127,18,2,1,0,0
2023-05-08,1305.07,24,16,35,26,2023,5,8,0,128,19,2,0,0,0
2023-05-09,1349.35,21,14,27,32,2023,5,9,1,129,19,2,0,0,0
2023-05-10,1363.32,75,52,173,37,2023,5,10,2,130,19,2,0,0,0
2023-05-11,1816.41,32,21,51,51,2023,5,11,3,131,19,2,0,0,0
2023-05-12,1754.15,38,26,101,36,2023,5,12,4,132,19,2,0,0,0
2023-05-13,1878.75,47,32,97,35,2023,5,13,5,133,19,2,1,0,0
2023-05-14,2089.27,49,41,49,46,2023,5,14,6,134,19,2,1,0,0
2023-05-15,2066.11,85,56,187,33,2023,5,15,0,135,20,2,0,0,0
2023-05-16,1258.56,37,32,120,38,2023,5,16,1,136,20,2,0,0,0
2023-05-17,1579.64,46,29,133,29,2023,5,17,2,137,20,2,0,0,0
2023-05-18,1578.4,37,24,113,38,2023,5,18,3,138,20,2,0,0,0
2023-05-19,1649.05,29,17,86,39,2023,5,19,4,139,20,2,0,0,0
2023-05-20,1965.53,40,22,129,38,2023,5,20,5,140,20,2,1,0,0
2023-05-21,1900.36,34,21,46,31,2023,5,21,6,141,20,2,1,0,0
2023-05-22,1904.15,59,51,59,47,2023,5,22,0,142,21,2,0,0,0
2023-05-23,1473.89,33,21,93,34,2023,5,23,1,143,21,2,0,0,0
2023-05-24,1665.76,36,25,79,36,2023,5,24,2,144,21,2,0,0,0
2023-05-25,1495.79,53,29,164,35,2023,5,25,3,145,21,2,0,0,0
2023-05-26,1699.94,37,27,76,33,2023,5,26,4,146,21,2,0,0,0
2023-05-27,2127.56,60,44,68,46,2023,5,27,5,147,21,2,1,0,0
2023-05-28,2657.06,55,43,210,51,2023,5,28,6,148,21,2,1,0,0
2023-05-29,1520.31,47,29,118,37,2023,5,29,0,149,22,2,0,0,0
2023-05-30,1531.92,32,19,64,28,2023,5,30,1,150,22,2,0,0,0
2023-05-31,1481.57,47,28,157,30,2023,5,31,2,151,22,2,0,0,1
2023-06-01,1919.76,38,27,68,42,2023,6,1,3,152,22,2,0,1,0
2023-06-02,1537.51,33,31,79,41,2023,6,2,4,153,22,2,0,0,0
2023-06-03,1779.69,39,34,77,46,2023,6,3,5,154,22,2,1,0,0
2023-06-04,2752.01,69,52,226,50,2023,6,4,6,155,22,2,1,0,0
2023-06-05,1609.93,42,28,102,39,2023,6,5,0,156,23,2,0,0,0
2023-06-06,1769.66,55,40,164,40,2023,6,6,1,157,23,2,0,0,0
2023-06-07,2003.93,37,27,90,31,2023,6,7,2,158,23,2,0,0,0
2023-06-08,1836.21,39,28,57,32,2023,6,8,3,159,23,2,0,0,0
2023-06-09,2442.4,54,41,136,44,2023,6,9,4,160,23,2,0,0,0
2023-06-10,2844.62,71,50,151,46,2023,6,10,5,161,23,2,1,0,0
2023-06-11,2378.92,50,32,175,39,2023,6,11,6,162,23,2,1,0,0
2023-06-12,2052.45,50,42,132,45,2023,6,12,0,163,24,2,0,0,0
2023-06-13,1343.23,28,22,71,38,2023,6,13,1,164,24,2,0,0,0
2023-06-14,1594.87,26,24,57,33,2023,6,14,2,165,24,2,0,0,0
2023-06-15,2106.79,34,22,73,39,2023,6,15,3,166,24,2,0,0,0
2023-06-16,1688.38,47,28,88,36,2023,6,16,4,167,24,2,0,0,0
2023-06-17,2588.22,42,25,138,44,2023,6,17,5,168,24,2,1,0,0
2023-06-18,2482.78,47,27,131,45,2023,6,18,6,169,24,2,1,0,0
2023-06-19,2273.73,47,44,93,40,2023,6,19,0,170,25,2,0,0,0
2023-06-20,1571.04,39,24,134,42,2023,6,20,1,171,25,2,0,0,0
2023-06-21,1585.26,43,32,88,39,2023,6,21,2,172,25,2,0,0,0
2023-06-22,1787.14,59,50,232,34,2023,6,22,3,173,25,2,0,0,0
2023-06-23,1997.25,41,30,124,50,2023,6,23,4,174,25,2,0,0,0
2023-06-24,2440.55,65,36,124,44,2023,6,24,5,175,25,2,1,0,0
2023-06-25,3183.19,79,57,196,57,2023,6,25,6,176,25,2,1,0,0
2023-06-26,2927.72,73,47,243,52,2023,6,26,0,177,26,2,0,0,0
2023-06-27,2219.02,43,28,127,47,2023,6,27,1,178,26,2,0,0,0
2023-06-28,2342.74,46,37,158,50,2023,6,28,2,179,26,2,0,0,0
2023-06-29,2289.87,52,37,180,38,2023,6,29,3,180,26,2,0,0,0
2023-06-30,2692.62,65,45,228,47,2023,6,30,4,181,26,2,0,0,1
2023-07-01,2025.06,64,49,193,51,2023,7,1,5,182,26,3,1,1,0
2023-07-02,1918.94,40,28,150,38,2023,7,2,6,183,26,3,1,0,0
2023-07-03,1774.24,34,24,72,38,2023,7,3,0,184,27,3,0,0,0
2023-07-04,2022.92,58,41,112,46,2023,7,4,1,185,27,3,0,0,0
2023-07-05,1344.76,34,25,127,33,2023,7,5,2,186,27,3,0,0,0
2023-07-06,1598.45,25,13,25,38,2023,7,6,3,187,27,3,0,0,0
2023-07-07,1971.4,56,43,150,36,2023,7,7,4,188,27,3,0,0,0
2023-07-08,2036.48,37,28,89,49,2023,7,8,5,189,27,3,1,0,0
2023-07-09,2116.77,71,44,174,42,2023,7,9,6,190,27,3,1,0,0
2023-07-10,2057.16,42,24,153,40,2023,7,10,0,191,28,3,0,0,0
2023-07-11,2039.77,42,31,124,42,2023,7,11,1,192,28,3,0,0,0
2023-07-12,1916.14,32,23,98,38,2023,7,12,2,193,28,3,0,0,0
2023-07-13,2125.98,55,48,135,34,2023,7,13,3,194,28,3,0,0,0
2023-07-14,2178.72,57,44,112,39,2023,7,14,4,195,28,3,0,0,0
2023-07-15,1810.96,44,20,54,41,2023,7,15,5,196,28,3,1,0,0
2023-07-16,2826.23,57,34,140,48,2023,7,16,6,197,28,3,1,0,0
2023-07-17,1768.23,29,22,67,37,2023,7,17,0,198,29,3,0,0,0
2023-07-18,1806.39,73,49,142,33,2023,7,18,1,199,29,3,0,0,0
2023-07-19,1678.42,26,19,53,39,2023,7,19,2,200,29,3,0,0,0
2023-07-20,2120.92,39,27,77,44,2023,7,20,3,201,29,3,0,0,0
2023-07-21,2269.84,42,32,140,40,2023,7,21,4,202,29,3,0,0,0
2023-07-22,3034.73,64,58,124,59,2023,7,22,5,203,29,3,1,0,0
2023-07-23,2610.2,67,43,150,48,2023,7,23,6,204,29,3,1,0,0
2023-07-24,2314.05,58,40,244,51,2023,7,24,0,205,30,3,0,0,0
2023-07-25,1871.24,41,29,122,33,2023,7,25,1,206,30,3,0,0,0
2023-07-26,1689.13,59,43,178,34,2023,7,26,2,207,30,3,0,0,0
2023-07-27,2172.59,66,36,176,46,2023,7,27,3,208,30,3,0,0,0
2023-07-28,3230.2,79,63,195,51,2023,7,28,4,209,30,3,0,0,0
2023-07-29,3452.97,67,36,246,61,2023,7,29,5,210,30,3,1,0,0
2023-07-30,2763.81,56,41,151,44,2023,7,30,6,211,30,3,1,0,0
2023-07-31,2321.65,51,41,149,41,2023,7,31,0,212,31,3,0,0,1
2023-08-01,1571.83,95,77,105,33,2023,8,1,1,213,31,3,0,1,0
2023-08-02,1172.6,36,29,76,33,2023,8,2,2,214,31,3,0,0,0
2023-08-03,1399.9,28,19,41,38,2023,8,3,3,215,31,3,0,0,0
2023-08-04,1995.12,67,44,247,44,2023,8,4,4,216,31,3,0,0,0
2023-08-05,2414.21,58,38,241,46,2023,8,5,5,217,31,3,1,0,0
2023-08-06,2712.78,49,35,112,46,2023,8,6,6,218,31,3,1,0,0
2023-08-07,2133.98,47,36,119,45,2023,8,7,0,219,32,3,0,0,0
2023-08-08,1744.22,38,19,122,39,2023,8,8,1,220,32,3,0,0,0
2023-08-09,2030.68,126,114,300,45,2023,8,9,2,221,32,3,0,0,0
2023-08-10,1491.31,29,17,58,44,2023,8,10,3,222,32,3,0,0,0
2023-08-11,2098.6,44,34,127,41,2023,8,11,4,223,32,3,0,0,0
2023-08-12,2693.98,39,27,103,52,2023,8,12,5,224,32,3,1,0,0
2023-08-13,2978.83,52,39,82,57,2023,8,13,6,225,32,3,1,0,0
2023-08-14,1790.93,37,23,90,39,2023,8,14,0,226,33,3,0,0,0
2023-08-15,1855.59,37,31,105,37,2023,8,15,1,227,33,3,0,0,0
2023-08-16,2027.02,35,20,104,43,2023,8,16,2,228,33,3,0,0,0
2023-08-17,1692.51,28,19,72,36,2023,8,17,3,229,33,3,0,0,0
2023-08-18,2171.14,63,35,237,37,2023,8,18,4,230,33,3,0,0,0
2023-08-19,2180.05,92,58,132,50,2023,8,19,5,231,33,3,1,0,0
2023-08-20,2949.88,77,71,252,47,2023,8,20,6,232,33,3,1,0,0
2023-08-21,1355.52,19,10,22,38,2023,8,21,0,233,34,3,0,0,0
2023-08-22,2424.46,41,31,122,48,2023,8,22,1,234,34,3,0,0,0
2023-08-23,1977.7,41,29,100,36,2023,8,23,2,235,34,3,0,0,0
2023-08-24,1701.46,60,41,102,31,2023,8,24,3,236,34,3,0,0,0
2023-08-25,2230.37,37,29,46,37,2023,8,25,4,237,34,3,0,0,0
2023-08-26,2929.93,83,56,244,44,2023,8,26,5,238,34,3,1,0,0
2023-08-27,2609.16,82,52,225,38,2023,8,27,6,239,34,3,1,0,0
2023-08-28,2781.43,62,46,166,54,2023,8,28,0,240,35,3,0,0,0
2023-08-29,2175.59,53,37,155,42,2023,8,29,1,241,35,3,0,0,0
2023-08-30,2149.28,56,35,77,50,2023,8,30,2,242,35,3,0,0,0
2023-08-31,1738.34,45,28,144,35,2023,8,31,3,243,35,3,0,0,1
2023-09-01,1723.33,45,32,82,47,2023,9,1,4,244,35,3,0,1,0
2023-09-02,1410.49,29,22,82,33,2023,9,2,5,245,35,3,1,0,0
2023-09-03,1683.42,37,25,121,47,2023,9,3,6,246,35,3,1,0,0
2023-09-04,1664.67,53,36,241,32,2023,9,4,0,247,36,3,0,0,0
2023-09-05,1852.41,29,18,85,46,2023,9,5,1,248,36,3,0,0,0
2023-09-06,1402.81,32,20,54,30,2023,9,6,2,249,36,3,0,0,0
2023-09-07,1214.78,26,16,69,24,2023,9,7,3,250,36,3,0,0,0
2023-09-08,1909.58,35,17,97,45,2023,9,8,4,251,36,3,0,0,0
2023-09-09,1760.6,28,20,54,37,2023,9,9,5,252,36,3,1,0,0
2023-09-10,2331.87,50,37,88,44,2023,9,10,6,253,36,3,1,0,0
2023-09-11,1435.1,32,19,61,40,2023,9,11,0,254,37,3,0,0,0
2023-09-12,1734.75,33,19,74,43,2023,9,12,1,255,37,3,0,0,0
2023-09-13,1522.98,22,16,58,33,2023,9,13,2,256,37,3,0,0,0
2023-09-14,1521.72,35,26,114,31,2023,9,14,3,257,37,3,0,0,0
2023-09-15,1459.8,54,40,87,23,2023,9,15,4,258,37,3,0,0,0
2023-09-16,2282.16,32,22,101,43,2023,9,16,5,259,37,3,1,0,0
2023-09-17,2125.27,39,26,105,42,2023,9,17,6,260,37,3,1,0,0
2023-09-18,1643.06,29,19,54,39,2023,9,18,0,261,38,3,0,0,0
2023-09-19,1293.18,28,19,94,35,2023,9,19,1,262,38,3,0,0,0
2023-09-20,1489.54,28,23,82,34,2023,9,20,2,263,38,3,0,0,0
2023-09-21,1201.39,34,22,68,31,2023,9,21,3,264,38,3,0,0,0
2023-09-22,1844.31,36,24,104,38,2023,9,22,4,265,38,3,0,0,0
2023-09-23,1521.41,42,28,64,38,2023,9,23,5,266,38,3,1,0,0
2023-09-24,2659.5,46,31,169,47,2023,9,24,6,267,38,3,1,0,0
2023-09-25,1738.23,44,29,96,38,2023,9,25,0,268,39,3,0,0,0
2023-09-26,1534.57,34,25,117,40,2023,9,26,1,269,39,3,0,0,0
2023-09-27,1165.15,59,46,82,30,2023,9,27,2,270,39,3,0,0,0
2023-09-28,1483.66,54,40,167,31,2023,9,28,3,271,39,3,0,0,0
2023-09-29,1345.08,34,25,44,34,2023,9,29,4,272,39,3,0,0,0
2023-09-30,2595.24,51,36,87,51,2023,9,30,5,273,39,3,1,0,1
2023-10-01,1693.53,37,22,79,32,2023,10,1,6,274,39,4,1,1,0
2023-10-02,1430.34,23,12,27,41,2023,10,2,0,275,40,4,0,0,0
2023-10-03,1164.15,30,24,60,40,2023,10,3,1,276,40,4,0,0,0
2023-10-04,1655.74,41,37,82,40,2023,10,4,2,277,40,4,0,0,0
2023-10-05,1570.96,27,23,68,31,2023,10,5,3,278,40,4,0,0,0
2023-10-06,1965.08,51,45,133,37,2023,10,6,4,279,40,4,0,0,0
2023-10-07,2233.48,70,42,242,39,2023,10,7,5,280,40,4,1,0,0
2023-10-08,1832.67,36,29,110,43,2023,10,8,6,281,40,4,1,0,0
2023-10-09,1631.37,52,44,116,35,2023,10,9,0,282,41,4,0,0,0
2023-10-10,1806.32,35,26,148,34,2023,10,10,1,283,41,4,0,0,0
2023-10-11,1716.5,37,26,137,39,2023,10,11,2,284,41,4,0,0,0
2023-10-12,1629.06,29,19,53,31,2023,10,12,3,285,41,4,0,0,0
2023-10-13,1299.39,19,11,44,31,2023,10,13,4,286,41,4,0,0,0
2023-10-14,2279.35,42,33,85,41,2023,10,14,5,287,41,4,1,0,0
2023-10-15,2272.07,53,45,153,46,2023,10,15,6,288,41,4,1,0,0
2023-10-16,2028.47,35,25,51,42,2023,10,16,0,289,42,4,0,0,0
2023-10-17,1362.57,34,25,118,33,2023,10,17,1,290,42,4,0,0,0
2023-10-18,1580.65,25,18,114,38,2023,10,18,2,291,42,4,0,0,0
2023-10-19,1112.09,21,15,74,34,2023,10,19,3,292,42,4,0,0,0
2023-10-20,1809.35,55,37,100,35,2023,10,20,4,293,42,4,0,0,0
2023-10-21,2377.34,38,28,58,45,2023,10,21,5,294,42,4,1,0,0
2023-10-22,2577.53,66,45,165,41,2023,10,22,6,295,42,4,1,0,0
2023-10-23,2029.64,46,34,82,38,2023,10,23,0,296,43,4,0,0,0
2023-10-24,1678.05,40,34,87,37,2023,10,24,1,297,43,4,0,0,0
2023-10-25,1726.42,56,29,71,43,2023,10,25,2,298,43,4,0,0,0
2023-10-26,1389.68,19,12,50,41,2023,10,26,3,299,43,4,0,0,0
2023-10-27,2409.9,36,29,119,47,2023,10,27,4,300,43,4,0,0,0
2023-10-28,2934.94,74,45,184,48,2023,10,28,5,301,43,4,1,0,0
2023-10-29,2450.32,47,37,120,51,2023,10,29,6,302,43,4,1,0,0
2023-10-30,1844.29,42,26,42,38,2023,10,30,0,303,44,4,0,0,0
2023-10-31,1788.18,29,22,48,47,2023,10,31,1,304,44,4,0,0,1
2023-11-01,2587.01,50,33,86,44,2023,11,1,2,305,44,4,0,1,0
2023-11-02,2544.55,39,33,82,39,2023,11,2,3,306,44,4,0,0,0
2023-11-03,2730.9,99,72,235,44,2023,11,3,4,307,44,4,0,0,0
2023-11-04,3006.84,59,38,92,35,2023,11,4,5,308,44,4,1,0,0
2023-11-05,3937.35,62,53,132,56,2023,11,5,6,309,44,4,1,0,0
2023-11-06,3581.96,102,74,317,61,2023,11,6,0,310,45,4,0,0,0
2023-11-07,2698.0,62,37,113,45,2023,11,7,1,311,45,4,0,0,0
2023-11-08,2891.14,53,32,195,47,2023,11,8,2,312,45,4,0,0,0
2023-11-09,2732.36,72,32,230,51,2023,11,9,3,313,45,4,0,0,0
2023-11-10,3210.08,70,52,87,49,2023,11,10,4,314,45,4,0,0,0
2023-11-11,4434.38,136,99,192,66,2023,11,11,5,315,45,4,1,0,0
2023-11-12,3942.56,136,111,260,55,2023,11,12,6,316,45,4,1,0,0
2023-11-13,3456.11,61,36,155,56,2023,11,13,0,317,46,4,0,0,0
2023-11-14,3031.64,64,42,117,50,2023,11,14,1,318,46,4,0,0,0
2023-11-15,2305.33,146,108,470,31,2023,11,15,2,319,46,4,0,0,0
2023-11-16,2331.9,45,40,113,39,2023,11,16,3,320,46,4,0,0,0
2023-11-17,3267.86,55,34,102,50,2023,11,17,4,321,46,4,0,0,0
2023-11-18,3404.35,73,62,201,52,2023,11,18,5,322,46,4,1,0,0
2023-11-19,3799.9,129,101,314,57,2023,11,19,6,323,46,4,1,0,0
2023-11-20,4974.79,103,64,222,75,2023,11,20,0,324,47,4,0,0,0
2023-11-21,2799.89,91,72,178,57,2023,11,21,1,325,47,4,0,0,0
2023-11-22,9600.89,236,195,602,120,2023,11,22,2,326,47,4,0,0,0
2023-11-23,8866.3,242,153,804,106,2023,11,23,3,327,47,4,0,0,0
2023-11-24,9493.85,267,198,1108,109,2023,11,24,4,328,47,4,0,0,0
2023-11-25,3996.95,67,46,191,54,2023,11,25,5,329,47,4,1,0,0
2023-11-26,4239.87,98,78,338,75,2023,11,26,6,330,47,4,1,0,0
2023-11-27,3665.43,75,53,166,58,2023,11,27,0,331,48,4,0,0,0
2023-11-28,3165.35,67,55,113,57,2023,11,28,1,332,48,4,0,0,0
2023-11-29,3967.91,90,43,181,66,2023,11,29,2,333,48,4,0,0,0
2023-11-30,3303.14,94,61,298,55,2023,11,30,3,334,48,4,0,0,1
2023-12-01,2604.86,63,41,111,54,2023,12,1,4,335,48,4,0,1,0
2023-12-02,3039.63,53,45,174,48,2023,12,2,5,336,48,4,1,0,0
2023-12-03,3388.7,75,45,206,47,2023,12,3,6,337,48,4,1,0,0
